sequence,viewport,step,intended_path,final_path,screenshot,notes
1,desktop,welcome,/,/,docs/ux_audit_evidence/2026-04-01/desktop/01-welcome.png,
2,desktop,auth-login,/auth,/auth,docs/ux_audit_evidence/2026-04-01/desktop/02-auth-login.png,
3,desktop,auth-register,/auth?mode=register,/auth?mode=register,docs/ux_audit_evidence/2026-04-01/desktop/03-auth-register.png,
4,desktop,dashboard,/dashboard,/dashboard,docs/ux_audit_evidence/2026-04-01/desktop/04-dashboard.png,
5,desktop,tasks-board,/tasks?tab=tasks,/tasks?tab=tasks,docs/ux_audit_evidence/2026-04-01/desktop/05-tasks-board.png,
6,desktop,tasks-add-card-open,/tasks?tab=tasks,/tasks?tab=tasks,docs/ux_audit_evidence/2026-04-01/desktop/06-tasks-add-card-open.png,After clicking first Add card.
7,desktop,tasks-lists,/tasks?tab=lists,/tasks?tab=lists,docs/ux_audit_evidence/2026-04-01/desktop/07-tasks-lists.png,
8,desktop,tasks-targets,/tasks?tab=targets,/tasks?tab=targets,docs/ux_audit_evidence/2026-04-01/desktop/08-tasks-targets.png,
9,desktop,tasks-goals,/tasks?tab=goals,/tasks?tab=goals,docs/ux_audit_evidence/2026-04-01/desktop/09-tasks-goals.png,
10,desktop,habits,/habits,/habits,docs/ux_audit_evidence/2026-04-01/desktop/10-habits.png,
11,desktop,routines,/routines,/routines,docs/ux_audit_evidence/2026-04-01/desktop/11-routines.png,
12,desktop,calendar,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/desktop/12-calendar.png,
13,desktop,calendar-day,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/desktop/13-calendar-day.png,Calendar switched to Dzien.
14,desktop,calendar-week,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/desktop/14-calendar-week.png,Calendar switched to Tydzien.
15,desktop,calendar-month,/calendar,/calendar,docs/ux_audit_evidence/2026-04-01/desktop/15-calendar-month.png,Calendar switched to Miesiac.
16,desktop,journal,/journal,/journal,docs/ux_audit_evidence/2026-04-01/desktop/16-journal.png,
17,desktop,life-areas,/life-areas,/life-areas,docs/ux_audit_evidence/2026-04-01/desktop/17-life-areas.png,
18,desktop,insights,/insights,/insights,docs/ux_audit_evidence/2026-04-01/desktop/18-insights.png,
19,desktop,settings-profile,/settings,/settings,docs/ux_audit_evidence/2026-04-01/desktop/19-settings-profile.png,
20,desktop,settings-application,/settings?tab=application,/settings?tab=application,docs/ux_audit_evidence/2026-04-01/desktop/20-settings-application.png,
